ID,fwy_stable,dir_stable,lanes_stable,max_shift_meters,Latitude,Longitude,Fwy,Dir,District,Lanes,geom,urban
311831,true,true,true,59.5161843802187,38.409782,-121.48412,5,S,3,1,Geometry: POINT (-121.48412 38.409782),true
311844,true,true,true,80.61893623696879,38.412779,-121.484363,5,N,3,3,Geometry: POINT (-121.484363 38.412779),true
311845,true,true,true,0.0,38.406175,-121.483002,5,N,3,1,Geometry: POINT (-121.483002 38.406175),true
311847,true,true,true,91.95465340180787,38.428258,-121.487578,5,N,3,3,Geometry: POINT (-121.487578 38.428258),true
312010,true,true,true,9.629666001276597,38.563816,-121.493316,50,W,3,5,Geometry: POINT (-121.493316 38.563816),true
312098,true,true,true,85.71247408462577,38.55902,-121.476106,50,E,3,4,Geometry: POINT (-121.476106 38.55902),true
312103,true,true,true,12.860393096426794,38.560995,-121.462999,50,W,3,4,Geometry: POINT (-121.462999 38.560995),true
312132,true,true,true,9.565441961368784,38.409782,-121.48412,5,S,3,2,Geometry: POINT (-121.48412 38.409782),true
312133,true,true,true,53.226305491699094,38.428229,-121.487572,5,N,3,3,Geometry: POINT (-121.487572 38.428229),true
312134,true,true,true,16.088405764260177,38.412421,-121.484289,5,N,3,2,Geometry: POINT (-121.484289 38.412421),true
312139,true,true,true,1.5822207354586895,38.562537,-121.489577,50,E,3,5,Geometry: POINT (-121.489577 38.562537),true
312222,true,true,true,0.0,38.554757,-121.405336,50,W,3,2,Geometry: POINT (-121.405336 38.554757),true
312326,true,true,true,61.214060903235215,38.632748,-121.502715,80,W,3,4,Geometry: POINT (-121.502715 38.632748),true
312327,true,true,true,66.0968691589405,38.632724,-121.502762,80,W,3,2,Geometry: POINT (-121.502762 38.632724),true
312344,true,true,true,6.389794483894114,38.63316,-121.501301,80,E,3,2,Geometry: POINT (-121.501301 38.63316),true
312346,true,true,true,9.620804031951618,38.63434,-121.499686,80,W,3,3,Geometry: POINT (-121.499686 38.63434),true
312347,true,true,true,9.620804031951618,38.63434,-121.499686,80,W,3,2,Geometry: POINT (-121.499686 38.63434),true
312383,true,true,true,98.22004100110976,38.473227,-121.421498,99,N,3,2,Geometry: POINT (-121.421498 38.473227),true
312386,true,true,true,24.216032262230343,38.477038,-121.425542,99,N,3,3,Geometry: POINT (-121.425542 38.477038),true
312387,true,true,true,28.95795679809075,38.477038,-121.425542,99,N,3,2,Geometry: POINT (-121.425542 38.477038),true
312388,true,true,true,1.641837269320521,38.481528,-121.430345,99,N,3,3,Geometry: POINT (-121.430345 38.481528),true
312420,true,true,true,54.8303101674204,38.484562,-121.433775,99,S,3,3,Geometry: POINT (-121.433775 38.484562),true
312421,true,true,true,12.925533060841275,38.488691,-121.437961,99,N,3,3,Geometry: POINT (-121.437961 38.488691),true
312422,true,true,true,9.678843434290128,38.494881,-121.444522,99,N,3,3,Geometry: POINT (-121.444522 38.494881),true
312426,true,true,true,96.84114802905742,38.497001,-121.446769,99,N,3,2,Geometry: POINT (-121.446769 38.497001),true
312439,true,true,true,30.565227025534444,38.634771,-121.498277,80,E,3,4,Geometry: POINT (-121.498277 38.634771),true
312440,true,true,true,41.76518451396309,38.634827,-121.49817,80,E,3,2,Geometry: POINT (-121.49817 38.634827),true
312513,true,true,true,82.13740971711991,38.502687,-121.45279,99,N,3,3,Geometry: POINT (-121.45279 38.502687),true
312514,true,true,true,75.52427722042138,38.509079,-121.459013,99,N,3,3,Geometry: POINT (-121.459013 38.509079),true
312515,true,true,true,75.52427722042138,38.509079,-121.459013,99,N,3,2,Geometry: POINT (-121.459013 38.509079),true
312520,true,true,true,78.85883033308983,38.511704,-121.46048,99,N,3,3,Geometry: POINT (-121.46048 38.511704),true
312521,true,true,true,78.85883033308983,38.511704,-121.46048,99,N,3,2,Geometry: POINT (-121.46048 38.511704),true
312525,true,true,true,70.82039410558765,38.52335,-121.46665,99,N,3,3,Geometry: POINT (-121.46665 38.52335),true
312527,true,true,true,53.06985537729383,38.526244,-121.468176,99,N,3,3,Geometry: POINT (-121.468176 38.526244),true
312530,true,true,true,22.550818628139044,38.533524,-121.472307,99,S,3,4,Geometry: POINT (-121.472307 38.533524),true
312562,true,true,true,27.308219717194472,38.542279,-121.473702,99,N,3,4,Geometry: POINT (-121.473702 38.542279),true
312563,true,true,true,20.980459629637025,38.542468,-121.473703,99,N,3,1,Geometry: POINT (-121.473703 38.542468),true
312564,true,true,true,1.6651023393348388,38.545423,-121.473985,99,S,3,4,Geometry: POINT (-121.473985 38.545423),true
312570,true,true,true,25.66680628371611,38.446758,-121.405805,99,S,3,2,Geometry: POINT (-121.405805 38.446758),true
312648,true,true,true,41.70425964142901,38.455428,-121.409707,99,N,3,2,Geometry: POINT (-121.409707 38.455428),true
312649,true,true,true,61.006032988175924,38.455428,-121.409707,99,N,3,2,Geometry: POINT (-121.409707 38.455428),true
312652,true,true,true,86.84982287547015,38.457026,-121.410475,99,N,3,3,Geometry: POINT (-121.410475 38.457026),true
312689,true,true,true,49.982251843350724,38.56768,-121.46946,51,N,3,4,Geometry: POINT (-121.46946 38.56768),true
312709,true,true,true,74.02472941204694,38.574513,-121.466505,51,N,3,2,Geometry: POINT (-121.466505 38.574513),true
312745,true,true,true,0.0,38.579355,-121.46446,51,N,3,3,Geometry: POINT (-121.46446 38.579355),true
312746,true,true,true,0.0,38.579355,-121.46446,51,N,3,2,Geometry: POINT (-121.46446 38.579355),true
312757,true,true,true,9.746836484396516,38.596555,-121.443773,51,S,3,5,Geometry: POINT (-121.443773 38.596555),true
312771,true,true,true,1.7322846262873317,38.597705,-121.443157,51,S,3,3,Geometry: POINT (-121.443157 38.597705),true
312772,true,true,true,1.7322846262873317,38.597705,-121.443157,51,S,3,2,Geometry: POINT (-121.443157 38.597705),true
312852,true,true,true,1.6140467779842198,38.560243,-121.472946,51,S,3,3,Geometry: POINT (-121.472946 38.560243),true
312855,true,true,true,84.93623966603195,38.573898,-121.467078,51,S,3,2,Geometry: POINT (-121.467078 38.573898),true
312858,true,true,true,79.82782012852466,38.600789,-121.438319,51,N,3,2,Geometry: POINT (-121.438319 38.600789),true
312896,true,true,true,21.12164128916593,38.624622,-121.41574,51,N,3,3,Geometry: POINT (-121.41574 38.624622),true
312897,true,true,true,66.62494828018166,38.624694,-121.415556,51,N,3,1,Geometry: POINT (-121.415556 38.624694),true
312898,true,true,true,69.9143270101664,38.626546,-121.411041,51,N,3,3,Geometry: POINT (-121.411041 38.626546),true
312899,true,true,true,78.04328362029281,38.626511,-121.411123,51,N,3,1,Geometry: POINT (-121.411123 38.626511),true
312900,true,true,true,70.11744344921784,38.630571,-121.402163,51,S,3,3,Geometry: POINT (-121.402163 38.630571),true
312940,true,true,true,1.629023199905888,38.631139,-121.399941,51,N,3,3,Geometry: POINT (-121.399941 38.631139),true
312941,true,true,true,1.629023199905888,38.631139,-121.399941,51,N,3,3,Geometry: POINT (-121.399941 38.631139),true
312942,true,true,true,27.13788158023661,38.635728,-121.388222,51,S,3,3,Geometry: POINT (-121.388222 38.635728),true
312944,true,true,true,20.891817332364838,38.638497,-121.384478,51,N,3,3,Geometry: POINT (-121.384478 38.638497),true
312946,true,true,true,56.05499729840689,38.639721,-121.383432,51,S,3,3,Geometry: POINT (-121.383432 38.639721),true
313000,true,true,true,41.974886861895506,38.558938,-121.37871,50,W,3,4,Geometry: POINT (-121.37871 38.558938),true
313001,true,true,true,41.974886861895506,38.558938,-121.37871,50,W,3,2,Geometry: POINT (-121.37871 38.558938),true
313005,true,true,true,57.984301361426844,38.566723,-121.334983,50,W,3,4,Geometry: POINT (-121.334983 38.566723),true
313006,true,true,true,57.984301361426844,38.566723,-121.334983,50,W,3,2,Geometry: POINT (-121.334983 38.566723),true
313007,true,true,true,57.984301361426844,38.566723,-121.334983,50,W,3,2,Geometry: POINT (-121.334983 38.566723),true
313037,true,true,true,24.195567569523867,38.591859,-121.286115,50,W,3,4,Geometry: POINT (-121.286115 38.591859),true
313038,true,true,true,6.442345653645854,38.591718,-121.28635,50,W,3,2,Geometry: POINT (-121.28635 38.591718),true
313055,true,true,true,42.419133831225814,38.630971,-121.216679,50,E,3,4,Geometry: POINT (-121.216679 38.630971),true
313082,true,true,true,37.57540745270764,38.631488,-121.216123,50,W,3,3,Geometry: POINT (-121.216123 38.631488),true
313144,true,true,true,69.1842071394241,38.523271,-121.466872,99,S,3,3,Geometry: POINT (-121.466872 38.523271),true
313166,true,true,true,53.260438985952696,38.422808,-121.394882,99,N,3,2,Geometry: POINT (-121.394882 38.422808),true
313190,true,true,true,38.67489517130993,38.409665,-121.388824,99,N,3,2,Geometry: POINT (-121.388824 38.409665),true
313197,true,true,true,19.37541720930462,38.609855,-121.428381,51,S,3,4,Geometry: POINT (-121.428381 38.609855),true
313339,true,true,true,88.84343214196517,38.639657,-121.199419,50,W,3,2,Geometry: POINT (-121.199419 38.639657),true
313344,true,true,true,52.027598632498574,38.642303,-121.159864,50,W,3,2,Geometry: POINT (-121.159864 38.642303),true
313349,true,true,true,49.98274191105099,38.642136,-121.155977,50,W,3,2,Geometry: POINT (-121.155977 38.642136),false
313376,true,true,true,45.16257946124157,38.654139,-121.367313,80,E,3,6,Geometry: POINT (-121.367313 38.654139),true
313405,true,true,true,41.80409363442146,38.67483,-121.345593,80,W,3,4,Geometry: POINT (-121.345593 38.67483),true
313406,true,true,true,41.57845556709093,38.674623,-121.34513,80,E,3,5,Geometry: POINT (-121.34513 38.674623),true
313438,true,true,true,27.33889351343186,38.70566,-121.311747,80,W,3,4,Geometry: POINT (-121.311747 38.70566),true
313444,true,true,true,63.91998216199657,38.704565,-121.312447,80,E,3,4,Geometry: POINT (-121.312447 38.704565),true
313450,true,true,true,19.33366358512689,38.707798,-121.309389,80,W,3,4,Geometry: POINT (-121.309389 38.707798),true
313469,true,true,true,0.0,38.712665,-121.303606,80,E,3,4,Geometry: POINT (-121.303606 38.712665),true
313512,true,true,true,37.056945090254686,38.725984,-121.289214,80,W,3,3,Geometry: POINT (-121.289214 38.725984),true
313551,true,true,true,9.599889722808443,38.641851,-121.155374,50,E,3,2,Geometry: POINT (-121.155374 38.641851),false
313552,true,true,true,42.26221593995045,38.641689,-121.151424,50,E,3,2,Geometry: POINT (-121.151424 38.641689),false
313567,true,true,true,33.567601448432924,38.698664,-121.318884,80,E,3,4,Geometry: POINT (-121.318884 38.698664),true
313612,true,true,true,22.533834698500268,38.625123,-121.228254,50,W,3,3,Geometry: POINT (-121.228254 38.625123),true
313618,true,true,true,20.834918848077407,38.624931,-121.228112,50,E,3,3,Geometry: POINT (-121.228112 38.624931),true
313625,true,true,true,22.49171443140651,38.615523,-121.253517,50,W,3,3,Geometry: POINT (-121.253517 38.615523),true
313631,true,true,true,22.521673292408035,38.615299,-121.253397,50,E,3,3,Geometry: POINT (-121.253397 38.615299),true
313684,true,true,true,40.18904633141011,38.55068,-121.428589,50,E,3,4,Geometry: POINT (-121.428589 38.55068),true
313692,true,true,true,0.0,38.55304,-121.413036,50,W,3,4,Geometry: POINT (-121.413036 38.55304),true
313698,true,true,true,95.25780978131517,38.552553,-121.414129,50,E,3,4,Geometry: POINT (-121.414129 38.552553),true
313747,true,true,true,62.83039514855609,38.5596,-121.372167,50,W,3,5,Geometry: POINT (-121.372167 38.5596),true
313753,true,true,true,62.84480304046566,38.559377,-121.372086,50,E,3,4,Geometry: POINT (-121.372086 38.559377),true
313765,true,true,true,3.233147632300014,38.569862,-121.328012,50,E,3,4,Geometry: POINT (-121.328012 38.569862),true
313824,true,true,true,58.89306961182375,38.57515,-121.558706,50,E,3,4,Geometry: POINT (-121.558706 38.57515),true
313846,true,true,true,0.0,38.562181,-121.347761,50,W,3,4,Geometry: POINT (-121.347761 38.562181),true
313852,true,true,true,14.519218221075663,38.561939,-121.347837,50,E,3,4,Geometry: POINT (-121.347837 38.561939),true
313861,true,true,true,8.05820633701698,38.573027,-121.321505,50,W,3,4,Geometry: POINT (-121.321505 38.573027),true
313867,true,true,true,8.030122283434547,38.572854,-121.321383,50,E,3,4,Geometry: POINT (-121.321383 38.572854),true
